,STATE,YEAR,Abortion Rate per 1000 People,AGE,Abortion Rate per 1000 People (Adjusted),"Abortion Rate per 100,000 People (Adjusted)"
0,Alabama,1988,31.4,15-19,-4.634,-463.4
1,Alabama,1989,30.35,15-19,-4.0395,-403.95
2,Alabama,1990,29.3,15-19,-3.445,-344.5
3,Alabama,1991,28.25,15-19,-2.8505,-285.05
4,Alabama,1992,27.2,15-19,-2.256,-225.6
5,Alabama,1993,25.375,15-19,-2.683,-268.3
6,Alabama,1994,23.55,15-19,-3.11,-311
7,Alabama,1995,21.725,15-19,-3.537,-353.7
8,Alabama,1996,19.9,15-19,-3.964,-396.4
9,Alabama,1997,18.8,15-19,-4.0895,-408.95
10,Alabama,1998,17.7,15-19,-4.215,-421.5
11,Alabama,1999,16.6,15-19,-4.3405,-434.05
12,Alabama,2000,15.5,15-19,-5.105882353,-510.5882353
13,Alabama,2001,14.78,15-19,-4.983529412,-498.3529412
14,Alabama,2002,14.06,15-19,-4.861176471,-486.1176471
15,Alabama,2003,13.34,15-19,-4.738823529,-473.8823529
16,Alabama,2004,12.62,15-19,-4.616470588,-461.6470588
17,Alabama,2005,11.9,15-19,-4.494117647,-449.4117647
18,Alabama,2006,11.9,15-19,-4.294117647,-429.4117647
19,Alabama,2007,11.3,15-19,-4.680392157,-468.0392157
20,Alabama,2008,11.3,15-19,-4.433333333,-443.3333333
21,Alabama,2009,10.2,15-19,-4.074509804,-407.4509804
22,Alabama,2010,9.1,15-19,-3.978431373,-397.8431373
23,Alabama,2011,8.8,15-19,-3.031372549,-303.1372549
24,Alabama,2012,7.7,15-19,-2.409803922,-240.9803922
25,Alabama,2013,6.5,15-19,-2.496078431,-249.6078431
26,Alabama,2014,6.3,15-19,-1.756862745,-175.6862745
27,Alabama,2015,5.7,15-19,-1.562745098,-156.2745098
28,Alabama,2016,5.4,15-19,-1.392156863,-139.2156863
29,Alabama,2017,5.1,15-19,-1.531372549,-153.1372549
30,Alaska,1988,35.9,15-19,-0.134,-13.4
31,Alaska,1989,34.425,15-19,0.0355,3.55
32,Alaska,1990,32.95,15-19,0.205,20.5
33,Alaska,1991,31.475,15-19,0.3745,37.45
34,Alaska,1992,30,15-19,0.544,54.4
35,Alaska,1993,27.225,15-19,-0.833,-83.3
36,Alaska,1994,24.45,15-19,-2.21,-221
37,Alaska,1995,21.675,15-19,-3.587,-358.7
38,Alaska,1996,18.9,15-19,-4.964,-496.4
39,Alaska,1997,17.825,15-19,-5.0645,-506.45
40,Alaska,1998,16.75,15-19,-5.165,-516.5
41,Alaska,1999,15.675,15-19,-5.2655,-526.55
42,Alaska,2000,14.6,15-19,-6.005882353,-600.5882353
43,Alaska,2001,14.82,15-19,-4.943529412,-494.3529412
44,Alaska,2002,15.04,15-19,-3.881176471,-388.1176471
45,Alaska,2003,15.26,15-19,-2.818823529,-281.8823529
46,Alaska,2004,15.48,15-19,-1.756470588,-175.6470588
47,Alaska,2005,15.7,15-19,-0.694117647,-69.41176471
48,Alaska,2006,14.9,15-19,-1.294117647,-129.4117647
49,Alaska,2007,14.3,15-19,-1.680392157,-168.0392157
50,Alaska,2008,14.8,15-19,-0.933333333,-93.33333333
51,Alaska,2009,14.1,15-19,-0.174509804,-17.45098039
52,Alaska,2010,16.9,15-19,3.821568627,382.1568627
53,Alaska,2011,14.1,15-19,2.268627451,226.8627451
54,Alaska,2012,12.1,15-19,1.990196078,199.0196078
55,Alaska,2013,10.1,15-19,1.103921569,110.3921569
56,Alaska,2014,9.4,15-19,1.343137255,134.3137255
57,Alaska,2015,7.8,15-19,0.537254902,53.7254902
58,Alaska,2016,7.6,15-19,0.807843137,80.78431373
59,Alaska,2017,6.6,15-19,-0.031372549,-3.137254902
60,Arizona,1988,39.4,15-19,3.366,336.6
61,Arizona,1989,37.45,15-19,3.0605,306.05
62,Arizona,1990,35.5,15-19,2.755,275.5
63,Arizona,1991,33.55,15-19,2.4495,244.95
64,Arizona,1992,31.6,15-19,2.144,214.4
65,Arizona,1993,30.325,15-19,2.267,226.7
66,Arizona,1994,29.05,15-19,2.39,239
67,Arizona,1995,27.775,15-19,2.513,251.3
68,Arizona,1996,26.5,15-19,2.636,263.6
69,Arizona,1997,25.25,15-19,2.3605,236.05
70,Arizona,1998,24,15-19,2.085,208.5
71,Arizona,1999,22.75,15-19,1.8095,180.95
72,Arizona,2000,21.5,15-19,0.894117647,89.41176471
73,Arizona,2001,20.76,15-19,0.996470588,99.64705882
74,Arizona,2002,20.02,15-19,1.098823529,109.8823529
75,Arizona,2003,19.28,15-19,1.201176471,120.1176471
76,Arizona,2004,18.54,15-19,1.303529412,130.3529412
77,Arizona,2005,17.8,15-19,1.405882353,140.5882353
78,Arizona,2006,16,15-19,-0.194117647,-19.41176471
79,Arizona,2007,14.5,15-19,-1.480392157,-148.0392157
80,Arizona,2008,15.3,15-19,-0.433333333,-43.33333333
81,Arizona,2009,11.8,15-19,-2.474509804,-247.4509804
82,Arizona,2010,9.1,15-19,-3.978431373,-397.8431373
83,Arizona,2011,9.3,15-19,-2.531372549,-253.1372549
84,Arizona,2012,7.8,15-19,-2.309803922,-230.9803922
85,Arizona,2013,6.7,15-19,-2.296078431,-229.6078431
86,Arizona,2014,5.8,15-19,-2.256862745,-225.6862745
87,Arizona,2015,5.6,15-19,-1.662745098,-166.2745098
88,Arizona,2016,5.9,15-19,-0.892156863,-89.21568627
89,Arizona,2017,5.4,15-19,-1.231372549,-123.1372549
90,Arkansas,1988,27.2,15-19,-8.834,-883.4
91,Arkansas,1989,26.2,15-19,-8.1895,-818.95
92,Arkansas,1990,25.2,15-19,-7.545,-754.5
93,Arkansas,1991,24.2,15-19,-6.9005,-690.05
94,Arkansas,1992,23.2,15-19,-6.256,-625.6
95,Arkansas,1993,21.4,15-19,-6.658,-665.8
96,Arkansas,1994,19.6,15-19,-7.06,-706
97,Arkansas,1995,17.8,15-19,-7.462,-746.2
98,Arkansas,1996,16,15-19,-7.864,-786.4
99,Arkansas,1997,15.075,15-19,-7.8145,-781.45
100,Arkansas,1998,14.15,15-19,-7.765,-776.5
101,Arkansas,1999,13.225,15-19,-7.7155,-771.55
102,Arkansas,2000,12.3,15-19,-8.305882353,-830.5882353
103,Arkansas,2001,11.54,15-19,-8.223529412,-822.3529412
104,Arkansas,2002,10.78,15-19,-8.141176471,-814.1176471
105,Arkansas,2003,10.02,15-19,-8.058823529,-805.8823529
106,Arkansas,2004,9.26,15-19,-7.976470588,-797.6470588
107,Arkansas,2005,8.5,15-19,-7.894117647,-789.4117647
108,Arkansas,2006,10.2,15-19,-5.994117647,-599.4117647
109,Arkansas,2007,9.9,15-19,-6.080392157,-608.0392157
110,Arkansas,2008,9.8,15-19,-5.933333333,-593.3333333
111,Arkansas,2009,9.1,15-19,-5.174509804,-517.4509804
112,Arkansas,2010,8.8,15-19,-4.278431373,-427.8431373
113,Arkansas,2011,7.7,15-19,-4.131372549,-413.1372549
114,Arkansas,2012,7.1,15-19,-3.009803922,-300.9803922
115,Arkansas,2013,5.8,15-19,-3.196078431,-319.6078431
116,Arkansas,2014,5,15-19,-3.056862745,-305.6862745
117,Arkansas,2015,4.2,15-19,-3.062745098,-306.2745098
118,Arkansas,2016,3.9,15-19,-2.892156863,-289.2156863
119,Arkansas,2017,4,15-19,-2.631372549,-263.1372549
120,California,1988,75,15-19,38.966,3896.6
121,California,1989,71.9,15-19,37.5105,3751.05
122,California,1990,68.8,15-19,36.055,3605.5
123,California,1991,65.7,15-19,34.5995,3459.95
124,California,1992,62.6,15-19,33.144,3314.4
125,California,1993,58.6,15-19,30.542,3054.2
126,California,1994,54.6,15-19,27.94,2794
127,California,1995,50.6,15-19,25.338,2533.8
128,California,1996,46.6,15-19,22.736,2273.6
129,California,1997,44.025,15-19,21.1355,2113.55
130,California,1998,41.45,15-19,19.535,1953.5
131,California,1999,38.875,15-19,17.9345,1793.45
132,California,2000,36.3,15-19,15.69411765,1569.411765
133,California,2001,34.3,15-19,14.53647059,1453.647059
134,California,2002,32.3,15-19,13.37882353,1337.882353
135,California,2003,30.3,15-19,12.22117647,1222.117647
136,California,2004,28.3,15-19,11.06352941,1106.352941
137,California,2005,26.3,15-19,9.905882353,990.5882353
138,California,2006,26.5,15-19,10.30588235,1030.588235
139,California,2007,27,15-19,11.01960784,1101.960784
140,California,2008,25.1,15-19,9.366666667,936.6666667
141,California,2009,22.7,15-19,8.425490196,842.5490196
142,California,2010,20.2,15-19,7.121568627,712.1568627
143,California,2011,17.9,15-19,6.068627451,606.8627451
144,California,2012,15.9,15-19,5.790196078,579.0196078
145,California,2013,14.4,15-19,5.403921569,540.3921569
146,California,2014,12.7,15-19,4.643137255,464.3137255
147,California,2015,11.4,15-19,4.137254902,413.7254902
148,California,2016,10.3,15-19,3.507843137,350.7843137
149,California,2017,9.6,15-19,2.968627451,296.8627451
150,Colorado,1988,38.4,15-19,2.366,236.6
151,Colorado,1989,38.1,15-19,3.7105,371.05
152,Colorado,1990,37.8,15-19,5.055,505.5
153,Colorado,1991,37.5,15-19,6.3995,639.95
154,Colorado,1992,37.2,15-19,7.744,774.4
155,Colorado,1993,35.3,15-19,7.242,724.2
156,Colorado,1994,33.4,15-19,6.74,674
157,Colorado,1995,31.5,15-19,6.238,623.8
158,Colorado,1996,29.6,15-19,5.736,573.6
159,Colorado,1997,26.925,15-19,4.0355,403.55
160,Colorado,1998,24.25,15-19,2.335,233.5
161,Colorado,1999,21.575,15-19,0.6345,63.45
162,Colorado,2000,18.9,15-19,-1.705882353,-170.5882353
163,Colorado,2001,18.42,15-19,-1.343529412,-134.3529412
164,Colorado,2002,17.94,15-19,-0.981176471,-98.11764706
165,Colorado,2003,17.46,15-19,-0.618823529,-61.88235294
166,Colorado,2004,16.98,15-19,-0.256470588,-25.64705882
167,Colorado,2005,16.5,15-19,0.105882353,10.58823529
168,Colorado,2006,16.4,15-19,0.205882353,20.58823529
169,Colorado,2007,17.1,15-19,1.119607843,111.9607843
170,Colorado,2008,16,15-19,0.266666667,26.66666667
171,Colorado,2009,14.2,15-19,-0.074509804,-7.450980392
172,Colorado,2010,12.5,15-19,-0.578431373,-57.84313725
173,Colorado,2011,11,15-19,-0.831372549,-83.1372549
174,Colorado,2012,9.7,15-19,-0.409803922,-40.98039216
175,Colorado,2013,8.3,15-19,-0.696078431,-69.60784314
176,Colorado,2014,7.5,15-19,-0.556862745,-55.68627451
177,Colorado,2015,6.9,15-19,-0.362745098,-36.2745098
178,Colorado,2016,6.2,15-19,-0.592156863,-59.21568627
179,Colorado,2017,6.2,15-19,-0.431372549,-43.1372549
180,Connecticut,1988,55.3,15-19,19.266,1926.6
181,Connecticut,1989,52.5,15-19,18.1105,1811.05
182,Connecticut,1990,49.7,15-19,16.955,1695.5
183,Connecticut,1991,46.9,15-19,15.7995,1579.95
184,Connecticut,1992,44.1,15-19,14.644,1464.4
185,Connecticut,1993,42.3,15-19,14.242,1424.2
186,Connecticut,1994,40.5,15-19,13.84,1384
187,Connecticut,1995,38.7,15-19,13.438,1343.8
188,Connecticut,1996,36.9,15-19,13.036,1303.6
189,Connecticut,1997,35.225,15-19,12.3355,1233.55
190,Connecticut,1998,33.55,15-19,11.635,1163.5
191,Connecticut,1999,31.875,15-19,10.9345,1093.45
192,Connecticut,2000,30.2,15-19,9.594117647,959.4117647
193,Connecticut,2001,29.5,15-19,9.736470588,973.6470588
194,Connecticut,2002,28.8,15-19,9.878823529,987.8823529
195,Connecticut,2003,28.1,15-19,10.02117647,1002.117647
196,Connecticut,2004,27.4,15-19,10.16352941,1016.352941
197,Connecticut,2005,26.7,15-19,10.30588235,1030.588235
198,Connecticut,2006,27.6,15-19,11.40588235,1140.588235
199,Connecticut,2007,27.3,15-19,11.31960784,1131.960784
200,Connecticut,2008,26,15-19,10.26666667,1026.666667
201,Connecticut,2009,23.1,15-19,8.825490196,882.5490196
202,Connecticut,2010,20,15-19,6.921568627,692.1568627
203,Connecticut,2011,16.8,15-19,4.968627451,496.8627451
204,Connecticut,2012,14,15-19,3.890196078,389.0196078
205,Connecticut,2013,12.7,15-19,3.703921569,370.3921569
206,Connecticut,2014,11.7,15-19,3.643137255,364.3137255
207,Connecticut,2015,10.7,15-19,3.437254902,343.7254902
208,Connecticut,2016,9.2,15-19,2.407843137,240.7843137
209,Connecticut,2017,9.3,15-19,2.668627451,266.8627451
210,Delaware,1988,49,15-19,12.966,1296.6
211,Delaware,1989,47.625,15-19,13.2355,1323.55
212,Delaware,1990,46.25,15-19,13.505,1350.5
213,Delaware,1991,44.875,15-19,13.7745,1377.45
214,Delaware,1992,43.5,15-19,14.044,1404.4
